chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.2218619,0.051420707,1870.6430173198817,2456.0956433630054,4206.329259738116,0.057013713138204226,-401.76047,97.696754,38.63216,12.949287,3.685301,1.9214116,1.6287423,1.3889807,-3.924846,-3.1658137,-6.0001764,-1.5458829,-2.2462404,2.5694213,0.043376975,2.0943916,-0.06969678,3.135129,0.99066097,-0.73314565,addhatrital
0.22899003,0.050770465,1900.947891885908,2449.3621754641085,4268.082495375994,0.06202465906581272,-403.75043,97.08204,36.70971,12.849279,3.8994477,2.5443182,1.841828,0.84839433,-3.8463914,-2.4073656,-5.068695,0.07565739,-1.0568064,3.4906392,0.7373377,2.118116,-0.0072730235,1.3858296,-1.5875909,-2.6028192,addhatrital
0.29514197,0.047746282,1994.6914168471997,2412.7713734612134,4246.374381856715,0.08550376080452128,-409.19315,98.815544,34.28567,15.589615,3.2407384,1.7813009,1.8471937,1.3661717,1.6190461,-0.63356924,-0.99843216,-1.508238,-2.408053,0.011742747,-2.7581422,-1.8747858,-5.9042745,-5.419281,-2.3336048,0.86067194,addhatrital
0.30738226,0.046673927,2047.2195962813444,2432.2856172188417,4371.5641852184735,0.0905014173119469,-411.76434,96.43882,33.34145,15.837626,3.7364867,3.4960585,4.477524,4.077047,3.065771,-0.8009901,-1.4274338,-2.207968,-2.2182927,-0.55265814,-2.9736009,-1.7949973,-5.354756,-2.8182933,-0.48921016,0.06707808,addhatrital
0.31415832,0.044878516,2095.875368493765,2461.1893936251686,4484.7963268761105,0.09477946686278864,-411.68973,95.44278,32.240654,15.114597,3.9433033,4.9349437,6.4456444,5.8409343,3.585364,-0.34895876,-0.3864822,-1.369231,-2.3215535,-1.9478194,-3.842646,-3.0138345,-5.1860714,-0.5591949,0.055301145,-0.4031227,addhatrital
0.25432998,0.04583737,1915.8170738230995,2410.5495740289384,4241.9462392027945,0.06451845840669014,-410.1795,97.326035,31.302425,14.769583,4.8429294,3.65075,2.8697472,0.82960224,-1.2226942,-2.3130062,-1.2447182,0.7652665,-0.03380757,1.3336698,0.22586288,1.5629117,0.014542889,0.14077002,-3.0099177,-2.7989063,addhatrital
0.2597982,0.045788296,1948.2375755154433,2423.0042875423146,4294.219086448211,0.06885196968860424,-412.34238,94.569145,30.734665,14.301134,5.3564334,6.392261,5.426297,1.6011056,-0.52421457,-1.3659881,-0.3673414,1.0359529,-0.10417345,1.2158322,-0.11147311,1.1012303,-1.0633508,-2.347042,-5.450744,-5.436166,addhatrital
0.25966704,0.044861853,2011.4132641070025,2455.901334958001,4447.859700520833,0.07155946869488536,-413.40668,93.661,31.067902,14.385853,4.6005645,5.2043076,4.785466,1.8193816,0.64747804,0.4568368,1.8247374,2.1462145,-0.014159242,0.95570934,0.05564524,1.3656541,-2.8196232,-4.874046,-8.375537,-9.540377,addhatrital
0.27239624,0.04389071,2049.8723698431645,2470.291506060792,4531.808810763889,0.07722680362654322,-414.0307,92.65635,30.029669,13.97015,4.973045,6.3130536,6.2722154,2.8532245,1.757122,1.2770631,2.6366932,1.4340357,-0.9955004,0.5386902,-0.62190026,-0.12134218,-6.0898223,-8.209869,-10.775456,-10.6550255,addhatrital
0.298426,0.04227346,2128.2111794839084,2509.349864314294,4693.802309707857,0.08086900308098592,-415.47992,91.1172,29.25165,13.833404,5.5354257,7.8764277,7.110083,3.279093,2.7043414,1.7511103,2.3522222,0.5206334,-1.1234189,0.5126029,-0.8012844,-2.2310257,-9.820132,-11.159338,-11.605722,-6.6860213,addhatrital
